,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
1436,Jekerstraat,Amsterdam,Room,770,9,Unfurnished,01-05-'22 - Indefinite period  1h,52.34613,4.89828,included,https://kamernet.nl/en/for-rent/room-amsterdam/jekerstraat/room-2034959,Shared,Shared,Shared,Shared,Yes,A,1,1,POINT (4.89828 52.34613)
1437,Jennerstraat,Amsterdam,Room,850,18,Furnished,31-05-'22 - Indefinite period  2h,52.347721,4.938399,included,https://kamernet.nl/en/for-rent/room-amsterdam/jennerstraat/room-2034947,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.938399 52.347721)
1438,Bergmolen,Amsterdam,Apartment,1800,95,Furnished,01-06-'22 - 30-04-'23  3h,52.418931,4.88687,included,https://kamernet.nl/en/for-rent/apartment-amsterdam/bergmolen/apartment-2034870,Own,Own,Own,Own,No,Unknown,By mutual agreement,4,POINT (4.88687 52.418931)
1439,3e Kekerstraat,Amsterdam,Room,650,18,Uncarpeted,09-04-'22 - 31-01-'23  4h,52.313936,4.978822,included,https://kamernet.nl/en/for-rent/room-amsterdam/3e-kekerstraat/room-2034886,Shared,Shared,Shared,Shared,No,Unknown,4,1,POINT (4.978822 52.313936)
1440,IJdoornlaan,Amsterdam,Studio,1295,40,Furnished,01-05-'22 - Indefinite period  4h,52.407719,4.917716,included,https://kamernet.nl/en/for-rent/studio-amsterdam/ijdoornlaan/studio-2034842,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (4.917716 52.407719)
1441,De Leeuw van Vlaanderenstraat,Amsterdam,Room,650,10,Furnished,09-05-'22 - 09-07-'22  5h,52.376518,4.842838,included,https://kamernet.nl/en/for-rent/room-amsterdam/de-leeuw-van-vlaanderenstraat/room-2034895,Unknown,Shared,Shared,Shared,Yes,Unknown,3,1,POINT (4.842838 52.376518)
1442,Crynssenstraat,Amsterdam,Room,850,12,Furnished,01-05-'22 - Indefinite period  6h,52.361883,4.85646,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/crynssenstraat/room-2034881,Shared,Shared,Shared,Shared,Yes,Unknown,1,1,POINT (4.85646 52.361883)
1443,Borneostraat,Amsterdam,Apartment,1600,55,Unfurnished,08-05-'22 - 07-04-'24  11h,52.365572,4.932899,excluded,https://kamernet.nl/en/for-rent/apartment-amsterdam/borneostraat/apartment-2034821,Own,Own,Own,Own,Unknown,Unknown,No,3,POINT (4.932899 52.365572)
1444,Herengracht,Amsterdam,Room,950,17,Furnished,15-04-'22 - 15-04-'23  21h,52.368487,4.887123,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/herengracht/room-2034783,Own,Own,Own,Own,Yes,Unknown,1,1,POINT (4.887123 52.368487)
1445,Brederodestraat,Amsterdam,Apartment,675,80,Furnished,01-05-'22 - 08-07-'22  21h,52.360682,4.862284,excluded,https://kamernet.nl/en/for-rent/apartment-amsterdam/brederodestraat/apartment-2034763,Shared,Shared,Shared,Shared,Yes,Unknown,No,4,POINT (4.862284 52.360682)
1446,Van Woustraat,Amsterdam,Room,800,27,Furnished,01-05-'22 - 22-07-'22  21h,52.352936,4.902926,included,https://kamernet.nl/en/for-rent/room-amsterdam/van-woustraat/room-2034721,Shared,Shared,Shared,Own,Yes,Unknown,4,1,POINT (4.902926 52.352936)
1447,Pontanusstraat,Amsterdam,Apartment,1500,81,Furnished,11-04-'22 - Indefinite period  21h,52.365479,4.926875,included,https://kamernet.nl/en/for-rent/apartment-amsterdam/pontanusstraat/apartment-2034717,Shared,Shared,Shared,Shared,Yes,Unknown,No,4,POINT (4.926875 52.365479)
1448,Huigenbos,Amsterdam,Room,600,12,Furnished,01-04-'22 - Indefinite period  4w,52.307013,4.958902,included,https://kamernet.nl/en/for-rent/room-amsterdam/huigenbos/room-2028621,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.958902 52.307013)
1449,Amsteldijk,Amsterdam,Room,800,9,Furnished,01-05-'22 - Indefinite period  1d,52.346494,4.911352,excluded,https://kamernet.nl/en/for-rent/room-amsterdam/amsteldijk/room-2033321,Shared,Shared,Shared,Shared,Yes,A,1,1,POINT (4.911352 52.346494)
1450,Sarphatistraat,Amsterdam,Room,1050,30,Furnished,16-04-'22 - Indefinite period  1d,52.361575,4.909067,included,https://kamernet.nl/en/for-rent/room-amsterdam/sarphatistraat/room-2034698,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (4.909067 52.361575)
1451,Dikninge,Amsterdam,Apartment,1965,92,Furnished,01-05-'22 - Indefinite period  1d,52.331923,4.886503,excluded,https://kamernet.nl/en/for-rent/apartment-amsterdam/dikninge/apartment-2034667,Own,Own,Own,Own,Yes,Unknown,No,3,POINT (4.886503 52.331923)
